mseq,Index,S
460,459,-5.1234927
461,460,-3.1424236
463,462,-5.6735802
464,463,-6.6204376
465,464,-5.688272
466,465,-9.5361271
467,466,-4.7543988
468,467,-5.2371469
469,468,-5.7230134
471,470,-5.7260299
472,471,-6.3830976
473,472,-7.8653264
475,474,-6.0548568
476,475,-8.9616003
477,476,-5.4263005
478,477,-5.2289038
479,478,-6.1209412
480,479,-4.9795465
481,480,-9.8717337
482,481,-4.8535523
483,482,-4.0182319
484,483,-6.2745371
485,484,-5.2992525
487,486,-5.3695908
488,487,-4.8148022
489,488,-4.1520586
490,489,-4.5554714
491,490,-8.4744368
492,491,-8.2709856
493,492,-4.0475225
494,493,-5.8198123
495,494,-4.092638
496,495,-5.3011589
497,496,-5.4099193
498,497,-6.8716516
499,498,-6.3310575
500,499,-5.475378
501,500,-5.2669063
502,501,-4.3434772
503,502,-5.2691836
504,503,-5.8208404
505,504,-4.8692627
506,505,-8.7648792
507,506,-6.4798737
508,507,-7.5907793
509,508,-5.1411967
510,509,-7.0905261
511,510,-4.6086879
512,511,-5.9745493
513,512,-8.5691395
514,513,-5.4095645
515,514,-8.5298023
517,516,-6.2622294
518,517,-7.9165983
520,519,-7.8340397
524,523,-9.5515079
525,524,-5.9833441
526,525,-8.1242266
527,526,-7.7821803
528,527,-5.2614598
529,528,-9.0147495
530,529,-8.2965679
533,532,-8.468009
534,533,-6.5842161
536,535,-9.1234713
537,536,-8.067832
538,537,-6.9913998
542,541,-4.7117925
545,544,-5.7248545
548,547,-8.8161821
549,548,-9.2751303
551,550,-8.7644405
552,551,-6.0969591
553,552,-8.274353
554,553,-7.3974328
555,554,-6.1566901
556,555,-4.7977362
557,556,-5.0878339
558,557,-7.2529678
559,558,-5.8302331
560,559,-4.2404289
561,560,-5.9997678
562,561,-6.8166161
563,562,-8.0883293
564,563,-8.7788639
565,564,-8.5952463
566,565,-7.4707036
567,566,-9.1305485
568,567,-5.7432709
569,568,-6.4686203
570,569,-7.7928925
571,570,-7.5695405
572,571,-7.1958199
573,572,-7.9965563
574,573,-8.6982231
575,574,-5.0754042
576,575,-6.1415553
577,576,-10.20233
579,578,-6.415422
580,579,-5.5898108
581,580,-8.8199024
582,581,-8.280551
583,582,-4.9311967
585,584,-5.0953197
587,586,-6.2877955
588,587,-8.8030653
589,588,-4.9936371
590,589,-5.7975583
591,590,-5.4389377
592,591,-4.6013279
593,592,-5.0320973
594,593,-5.4165592
595,594,-4.9406757
596,595,-6.7292709
597,596,-7.0970011
598,597,-5.058063
599,598,-7.6206594
600,599,-6.669251
601,600,-7.3363504
