Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[S-].[Na+],402.15100000000007,1.6662000000000003,147.0142723527605,0.0,0.0,1.0,6.0,0.0,0.2758620689655172,0.2857142857142857,
CC[N+](CC)(CC)CC.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,543.311,4.993200000000003,182.62780595023983,40.13,0.0,2.0,10.0,0.0,0.2941176470588235,0.4333333333333333,
CCNCC.O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,537.21,5.696200000000002,171.44410743971187,49.33,2.0,2.0,9.0,0.0,0.303030303030303,0.68,
CCCNCCC.O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,431.242,4.502100000000002,145.19949813726473,58.56,2.0,3.0,8.0,0.0,0.1951219512195122,0.2972972972972973,
O=S(=O)([O-])CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],362.1389999999999,0.1741000000000001,130.70986599091498,57.2,0.0,3.0,7.0,0.0,0.2941176470588235,0.2285714285714285,
O=S([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],356.088,-0.0695000000000001,126.81080037214646,40.13,0.0,2.0,4.0,0.0,0.3214285714285714,0.3333333333333333,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],436.046,0.1143999999999993,153.14603234745107,40.13,0.0,2.0,5.0,0.0,0.2580645161290322,0.4074074074074074,
C[N+](C)(C)CCCNC(=O)c1ccc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)cc1.[I-],794.2840000000002,4.377700000000004,253.3335028539957,38.33,1.0,2.0,9.0,1.0,0.1034482758620689,0.125,
C[NH3+].O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,495.129,2.6038,152.1393096099267,67.77,1.0,2.0,7.0,0.0,0.3448275862068966,0.52,
CC[NH+](CC)CC.O=P([O-])(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,629.2880000000001,4.862600000000004,202.84455733799712,64.8,2.0,2.0,12.0,0.0,0.25,0.2564102564102564,
CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.[La+3],1024.4280000000003,9.623669999999995,341.8833142784092,102.42,0.0,6.0,12.0,0.0,0.2424242424242424,0.3333333333333333,
CC12CCC([C-](C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C.CC12CCC([C-](C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C.CC12CCC([C-](C(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2(C)C.[Yb+3],1214.79,11.964269999999985,422.8644371365175,102.42,0.0,6.0,9.0,6.0,0.1702127659574468,0.2272727272727272,
CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F.[Pb+2],797.5480000000002,6.034980000000004,231.92511796959823,68.28,0.0,4.0,8.0,0.0,0.2424242424242424,0.3333333333333333,
CCCCCCCC[N+]1(CCCCCCCC)CCN(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1.[I-],920.5930000000004,7.14050000000001,302.0351659488057,37.38,0.0,2.0,22.0,1.0,0.2954545454545454,0.1914893617021276,
