Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings
FC(F)(C(Cl)(Cl)Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(Cl)(Cl)Cl,519.685,7.4419,162.67931675267246,0.0,0.0,0.0,4.0,0.0
OC(CCl)(c1ccc(F)cc1F)C(F)(F)C(F)(F)C(F)(F)F,360.6029999999999,4.224100000000001,121.84343229689378,20.23,1.0,1.0,4.0,1.0
FC(F)(Cl)C(F)(F)Cl,170.92000000000002,2.6495999999999995,52.37286720769444,0.0,0.0,0.0,1.0,0.0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,414.06399999999996,4.4451,124.7326327247391,37.3,1.0,1.0,5.0,0.0
COC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,544.104,5.735700000000002,165.9224573864516,35.53,0.0,3.0,9.0,0.0
Cc1cc(Br)c(N)c(C(O)(C(F)(F)F)C(F)(F)F)c1,352.072,3.6519200000000005,111.88605604949089,46.25,2.0,2.0,1.0,1.0
FC(=NN=C(Cl)C(F)(F)F)C(F)(F)F,244.49699999999993,3.0313,77.0568724103399,24.72,0.0,2.0,1.0,0.0
FC(OC(F)(F)C(F)F)C(F)(F)F,218.04299999999995,2.7188,66.27190582393614,9.23,0.0,1.0,3.0,0.0
CCCSc1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,392.3360000000001,5.738700000000002,142.95349584715512,37.3,1.0,2.0,6.0,1.0
F/C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,382.066,5.505600000000001,115.08727384031506,0.0,0.0,0.0,5.0,0.0
CCC(=O)C(C)=C(F)C(F)(F)F,184.13199999999998,2.771300000000001,67.06296439377365,17.07,0.0,1.0,2.0,0.0
O=C(CCF)C(F)(F)C(F)(F)F,194.07399999999998,2.1127000000000002,63.35375400301716,17.07,0.0,1.0,3.0,0.0
O=S(=O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,714.1810000000003,7.424800000000004,210.88557748378528,54.370000000000005,1.0,2.0,12.0,0.0
NC(=O)C(F)C(F)(F)F,145.055,0.3721000000000002,47.632689665384184,43.09,1.0,1.0,1.0,0.0
CC(F)(F)C(F)(F)OC(F)(C(=O)O)C(F)(F)F,276.07899999999995,2.5637,87.95754590496912,46.53,1.0,2.0,4.0,0.0
O=P(O)(O)CCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,726.1130000000003,7.264300000000006,217.31791427715282,85.22000000000001,2.0,4.0,12.0,0.0
C[N+](C)(CCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O,732.2670000000002,7.790900000000007,231.84167765183994,37.3,1.0,1.0,15.0,0.0
FC(F)(F)C(F)(F)C(F)(F)COCC1CO1,256.11699999999996,2.2347,85.30891084017736,21.759999999999998,0.0,2.0,5.0,1.0
CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,606.1660000000002,7.219600000000004,188.234809305987,26.3,0.0,2.0,11.0,0.0
CCCCCCCCCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,697.4480000000003,7.810400000000006,231.96361846596935,74.68,1.0,3.0,19.0,0.0
FC1=C(I)C(F)(F)C(F)(F)C(F)(F)C1(F)F,369.95199999999994,4.1573,95.62018416147885,0.0,0.0,0.0,0.0,1.0
CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.1409999999999,1.9613000000000003,93.9994761877752,46.17,1.0,2.0,4.0,0.0
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2Cl)c1F,582.8500000000001,8.029040000000004,219.31603975292268,58.2,2.0,2.0,5.0,3.0
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,382.04699999999997,5.030700000000001,114.78388678200598,18.46,0.0,2.0,6.0,0.0
CCCN(CCOCCOCCCCS(=O)(=O)[O-])S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],799.4880000000005,2.790300000000001,279.52609672311286,113.03999999999999,0.0,7.0,23.0,0.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[NH4+],563.126,5.0953,170.7908864465067,76.63,1.0,2.0,10.0,0.0
CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,270.14399999999995,3.162600000000002,91.72766097864009,26.3,0.0,2.0,5.0,0.0
O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,630.5470000000003,7.255600000000004,189.65441522969084,37.3,1.0,1.0,10.0,0.0
FC(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,488.05899999999997,6.558100000000003,142.96949600152712,0.0,0.0,0.0,3.0,0.0
O=C(O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,414.06399999999996,4.4451,124.7326327247391,37.3,1.0,1.0,4.0,0.0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,640.1110000000002,6.143900000000004,194.6718469694455,74.6,2.0,2.0,12.0,0.0
COC(F)(F)C(F)(F)Cl,166.501,2.0572,53.54808832471626,9.23,0.0,1.0,2.0,0.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccccc2)c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,1154.4920000000004,15.328799999999983,383.97232289992223,0.0,0.0,0.0,21.0,3.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cc(-c2ccccc2)[nH]n1,462.20900000000006,6.272000000000002,157.22737222034718,28.68,1.0,1.0,6.0,2.0
CCOC(F)(F)C(F)(F)F,164.073,2.178,53.77529961515744,9.23,0.0,1.0,2.0,0.0
FC(OC(F)(F)C(F)(F)F)(OC(F)(F)C(F)(F)F)OC(F)(F)C(F)(F)F,436.042,5.082300000000001,128.91810584954956,27.69,0.0,3.0,6.0,0.0
OCCC(F)(C(F)(F)F)C(F)(F)F,214.07999999999998,2.2016999999999998,68.15200105809564,20.23,1.0,1.0,2.0,0.0
C=C(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,489.303,3.818400000000003,162.04551969276224,63.68,0.0,4.0,10.0,0.0
