PREFERRED NAME,CASRN,SMILES,MOLECULAR FORMULA,AVERAGE MASS,Canonical SMILES
"1,1,1,2,2,3,3,4,4,5,5,6,6-Tridecafluoro-9-(triethoxymethyl)heptadecane",NOCAS_1026759,CCCCCCCCC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCC)(OCC)OCC,C24H37F13O3,620.536,CCCCCCCCC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCC)(OCC)OCC
{Ethyl[(perfluorodecyl)sulfonyl]amino}acetic acid,61481-04-7,CCN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H8F21NO4S,685.25,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"Heptanoic acid, tridecafluoro-, [[4-(2,4-dinitrophenoxy)phenyl]methylene]hydrazide",470678-94-5,[O-][N+](=O)C1=CC(=C(OC2=CC=C(C=NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C2)C=C1)[N+]([O-])=O,C20H9F13N4O6,648.293,O=C(NN=Cc1ccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Ethyl 3-methyl-5-(nonafluorobutyl)-1H-pyrazole-4-carboxylate,119403-58-6,CCOC(=O)C1=C(NN=C1C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H9F9N2O2,372.191,CCOC(=O)c1c(C)n[nH]c1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"4-(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)aniline",919289-98-8,NC1=CC=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,C12H10F9N,339.205,Nc1ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
3-(Dimethyl{3-[(perfluoroheptane-1-sulfonyl)amino]propyl}azaniumyl)propane-1-sulfonate,NOCAS_1032992,C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS([O-])(=O)=O,C15H19F15N2O5S2,656.42,C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCCS(=O)(=O)[O-]
"3,4,4-Trifluoro-3-(heptafluoropropyl)-1,2lambda~6~-oxathietane-2,2-dione",156465-44-0,FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)OS1(=O)=O,C5F10O3S,330.1,O=S1(=O)OC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)F
2-(2-Iodoethyl)perfluoropropane,99324-96-6,FC(F)(F)C(F)(CCI)C(F)(F)F,C5H4F7I,323.98,FC(F)(F)C(F)(CCI)C(F)(F)F
"2-Hydroxy-N-(3-{(2-hydroxy-3-sulfopropyl)[(perfluorohexyl)sulfonyl]amino}propyl)-N,N-dimethyl-3-sulfo-1-propanaminium",2089109-72-6,C[N+](C)(CCCN(CC(O)CS(O)(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(O)(=O)=O,C17H26F13N2O10S3,761.56,C[N+](C)(CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(=O)(=O)O
"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2-iodo-6-(trifluoromethyl)aniline",1207315-39-6,NC1=C(C=C(C=C1I)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,C10H4F10IN,455.038,Nc1c(I)cc(C(F)(C(F)(F)F)C(F)(F)F)cc1C(F)(F)F
