Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Docking Score
C[N+](C)(C)CCCNS(=O)(=O)c1ccc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)cc1,703.4350000000004,6.922200000000004,236.42402211533656,55.400000000000006,1.0,3.0,10.0,1.0,-8.6101961
OB(O)c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,289.9429999999999,1.6557999999999995,102.166048804056,40.46,2.0,2.0,2.0,1.0,-5.488184
NS(=O)(=O)c1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,532.278,3.689000000000001,174.31495114579047,89.25999999999999,2.0,3.0,8.0,1.0,-8.125741
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,790.1660000000005,9.3778,239.0882381055456,55.760000000000005,1.0,3.0,16.0,0.0,-9.1861372
O=C(O)c1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1,290.1339999999999,3.674200000000001,101.0056752498068,37.3,1.0,1.0,2.0,1.0,-5.7537136
FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C1(F)F,316.041,3.7434,94.65810051090504,9.23,0.0,1.0,3.0,1.0,-5.1501746
Fc1c(F)c(F)c2c(c1F)C(F)(F)C(F)(F)C2(F)Cl,314.534,4.3448,103.31348316237532,0.0,0.0,0.0,0.0,2.0,-5.1406155
CCCCCCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,466.52199999999993,8.624000000000002,180.83685058019265,26.3,0.0,2.0,19.0,0.0,-9.0285006
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2Cl)c1,564.8600000000001,7.889940000000004,215.1505043499964,58.2,2.0,2.0,5.0,3.0,-9.0544138
CC(C)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,556.1590000000001,6.582700000000004,173.53879638573792,26.3,0.0,2.0,9.0,0.0,-7.8485785
CCOC(=O)C(F)(F)C(F)(F)F,192.083,1.7471,64.3017638295978,26.3,0.0,2.0,2.0,0.0,-4.9557447
C[N+](C)(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],763.2760000000002,7.143500000000008,242.3721551691628,40.13,0.0,2.0,16.0,0.0,-8.6953354
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,500.1259999999999,4.841100000000001,145.7365836883924,54.370000000000005,1.0,2.0,6.0,0.0,-6.2967248
C[N+](C)(C)CC(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,796.3950000000003,8.727400000000001,254.69868520888085,20.23,1.0,2.0,17.0,0.0,-9.6211252
O=C(O)C(F)(F)C(F)(F)C(F)=CCl,224.512,2.3913,73.59611554698435,37.3,1.0,1.0,3.0,0.0,-4.6570787
C=CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,304.152,4.047300000000002,101.57254876666114,9.23,0.0,1.0,7.0,0.0,-5.817173
C[N+](C)(CCCC(=O)[O-])CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,591.3020000000001,5.382500000000003,196.3179877169597,40.13,0.0,2.0,14.0,0.0,-8.4973631
