Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
COC(F)(F)C(F)(F)C#N,157.066,1.38448,54.0023438936999,33.02,0.0,2.0,2.0,0.0,0.09375,0.0967741935483871,-3.9908285
OC(COC1CC2C=CC1C2)(C(F)(F)F)C(F)(F)F,290.2029999999999,2.823300000000001,104.5883982318132,29.46,1.0,2.0,3.0,2.0,0.1162790697674418,0.119047619047619,-6.1953483
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,395.937,4.4824,99.2817470386482,0.0,0.0,0.0,3.0,0.0,0.3478260869565217,0.3636363636363636,-5.2305698
FC(F)(F)C(F)(I)C(F)(F)F,295.923,3.2118,69.88972119815004,0.0,0.0,0.0,0.0,0.0,0.1739130434782608,0.1818181818181818,-4.3989635
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,695.979,8.294200000000005,187.45782456014263,0.0,0.0,0.0,8.0,0.0,0.2222222222222222,0.2307692307692307,-7.1779752
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,320.18500000000006,2.3507,114.55281318408584,52.6,0.0,4.0,8.0,0.0,0.1714285714285714,0.2121212121212121,-6.5432091
FC1(F)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2O3)C1(F)F,194.12699999999995,1.8402,71.36243617704567,9.23,0.0,1.0,0.0,3.0,0.0303030303030303,0.03125,-5.1593003
FCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,402.072,5.330000000000002,119.94241227542554,0.0,0.0,0.0,6.0,0.0,0.32,0.3333333333333333,-5.6272354
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,446.125,5.081000000000002,137.4665302564148,20.23,1.0,1.0,9.0,0.0,0.1764705882352941,0.1818181818181818,-6.3574924
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,770.1110000000003,10.072700000000005,226.9800381200953,0.0,0.0,0.0,13.0,0.0,0.32,0.3333333333333333,-8.1681643
O=C(O)CC(F)(F)C(F)(F)C(F)(F)F,228.063,2.2940000000000005,72.3135231581394,37.3,1.0,1.0,3.0,0.0,0.2857142857142857,0.4,-4.7916403
CCN(CC)C(=O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CC)CC,432.3270000000001,3.6025000000000027,155.18097079621248,40.620000000000005,0.0,2.0,10.0,0.0,0.1428571428571428,0.2368421052631578,-7.8702765
C=CCOC1=C(F)C(F)(F)C1(F)F,200.106,2.654300000000001,70.48508874044951,9.23,0.0,1.0,3.0,1.0,0.0512820512820512,0.0256410256410256,-4.9026909
O=S(NS(=O)(=O)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,523.292,4.3249,165.59328583414518,63.24,1.0,3.0,8.0,1.0,0.282051282051282,0.2564102564102564,-7.321269
FC(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,281.049,2.9124,85.72192126085935,12.47,0.0,2.0,1.0,1.0,0.0294117647058823,0.0303030303030303,-5.090909
O=S(=O)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,425.9939999999999,3.1085000000000003,106.829178648358,43.370000000000005,0.0,3.0,5.0,0.0,0.2258064516129032,0.15625,-5.6098714
FC(F)C(F)C(F)(F)C(F)(F)F,202.04399999999995,2.7872000000000003,61.15836059442925,0.0,0.0,0.0,2.0,0.0,0.1481481481481481,0.1538461538461538,-4.4027014
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,546.095,6.0538000000000025,164.65513608256006,37.3,1.0,1.0,10.0,0.0,0.21875,0.5833333333333334,-6.839829
NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,299.0829999999999,3.0486000000000004,91.72474172901389,26.02,1.0,1.0,4.0,0.0,0.3076923076923077,0.32,-5.0103598
FC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,592.0020000000001,7.116500000000004,160.26520543111488,0.0,0.0,0.0,8.0,0.0,0.2666666666666666,0.2758620689655172,-6.5870562
O=C(OOC(=O)C(F)(F)C(F)(F)C(F)(F)Cl)C(F)(F)C(F)(F)C(F)(F)Cl,458.966,4.1922,142.36623309232354,52.6,0.0,4.0,6.0,0.0,0.1935483870967742,0.2857142857142857,-6.2662072
C=CC(F)(F)C(F)(F)OC(F)=C(F)F,224.075,3.4522000000000004,73.4570485854346,9.23,0.0,1.0,4.0,0.0,0.1470588235294117,0.1176470588235294,-5.044591
